tax_id,halophilic
888064,TRUE
1610490,TRUE
1354,TRUE
88132,TRUE
29528,TRUE
198312,TRUE
87458,TRUE
38282,TRUE
160453,TRUE
2559926,TRUE
332949,TRUE
291985,TRUE
225985,TRUE
155618,TRUE
178214,TRUE
2005703,TRUE
1218091,TRUE
53346,TRUE
340146,TRUE
44007,TRUE
1077675,TRUE
249189,TRUE
137730,TRUE
155617,TRUE
1397699,TRUE
118060,TRUE
1413,TRUE
82135,TRUE
2559929,TRUE
87650,TRUE
41997,TRUE
225971,TRUE
1408438,TRUE
1158607,TRUE
225084,TRUE
82347,TRUE
41170,TRUE
112904,TRUE
874156,TRUE
91359,TRUE
1648,TRUE
1158604,TRUE
1121871,TRUE
1121869,TRUE
150033,TRUE
33987,TRUE
2559924,TRUE
1158610,TRUE
2559927,TRUE
2661937,TRUE
1158601,TRUE
1218093,TRUE
71451,TRUE
120956,TRUE
2676122,TRUE
1678728,TRUE
178356,TRUE
59602,TRUE
69322,TRUE
169050,TRUE
142834,TRUE
245,TRUE
33938,TRUE
96345,TRUE
957042,TRUE
1379,TRUE
180441,TRUE
178355,TRUE
1852970,TRUE
2702,TRUE
2704140,TRUE
983,TRUE
99286,TRUE
986,TRUE
1121921,TRUE
2676123,TRUE
525245,TRUE
229204,TRUE
112140,TRUE
527326,TRUE
860790,TRUE
145483,TRUE
2294115,TRUE
29533,TRUE
84135,TRUE
638953,TRUE
13076,TRUE
1422,TRUE
1859473,TRUE
37752,TRUE
229205,TRUE
320324,TRUE
180194,TRUE
283737,TRUE
584787,TRUE
1650663,TRUE
1796469,TRUE
546270,TRUE
80883,TRUE
66228,TRUE
29391,TRUE
280093,TRUE
81950,TRUE
314200,TRUE
1307940,TRUE
29534,TRUE
135517,TRUE
1223502,TRUE
483547,TRUE
249352,TRUE
291193,TRUE
1121891,TRUE
1450525,TRUE
291190,TRUE
180197,TRUE
89584,TRUE
150172,TRUE
640331,TRUE
549000,TRUE
249351,TRUE
1121925,TRUE
991,TRUE
348442,TRUE
1859475,TRUE
865937,TRUE
860221,TRUE
154117,TRUE
150240,TRUE
70993,TRUE
937593,TRUE
620889,TRUE
585528,TRUE
1075090,TRUE
36822,TRUE
43667,TRUE
192814,TRUE
240303,TRUE
178774,TRUE
1933880,TRUE
161153,TRUE
2487349,TRUE
43776,TRUE
256702,TRUE
137733,TRUE
1352928,TRUE
1305624,TRUE
334253,TRUE
256701,TRUE
83341,TRUE
45668,TRUE
1121927,TRUE
993084,TRUE
574987,TRUE
435909,TRUE
2054,TRUE
333138,TRUE
489913,TRUE
360184,TRUE
489912,TRUE
1261545,TRUE
1223541,TRUE
930806,TRUE
256821,TRUE
644548,TRUE
36823,TRUE
256034,TRUE
470774,TRUE
648780,TRUE
2055,TRUE
563735,TRUE
240302,TRUE
291742,TRUE
543890,TRUE
199441,TRUE
996166,TRUE
84595,TRUE
127891,TRUE
438595,TRUE
286420,TRUE
470864,TRUE
127886,TRUE
46124,TRUE
1220583,TRUE
393087,TRUE
474951,TRUE
2038139,TRUE
307521,TRUE
257984,TRUE
638301,TRUE
396056,TRUE
47960,TRUE
256035,TRUE
474950,TRUE
195088,TRUE
392827,TRUE
1223544,TRUE
706427,TRUE
1548599,TRUE
675812,TRUE
1176239,TRUE
405555,TRUE
137732,TRUE
256037,TRUE
489911,TRUE
474952,TRUE
