tax_id,thermophilic
1882945,TRUE
109807,TRUE
57174,TRUE
1170224,TRUE
373054,TRUE
353224,TRUE
632292,TRUE
650508,TRUE
2041189,TRUE
76887,TRUE
551788,TRUE
447594,TRUE
717609,TRUE
54910,TRUE
2703818,TRUE
521460,TRUE
1349751,TRUE
197,TRUE
121620,TRUE
28898,TRUE
54265,TRUE
206,TRUE
189866,TRUE
412901,TRUE
568790,TRUE
95159,TRUE
1031564,TRUE
91353,TRUE
391606,TRUE
32020,TRUE
196,TRUE
144055,TRUE
152526,TRUE
178899,TRUE
195,TRUE
129958,TRUE
1485585,TRUE
112729,TRUE
43670,TRUE
75697,TRUE
217041,TRUE
2751,TRUE
441616,TRUE
1323370,TRUE
307124,TRUE
1187080,TRUE
285110,TRUE
1305856,TRUE
391592,TRUE
1408545,TRUE
53342,TRUE
908809,TRUE
857293,TRUE
996765,TRUE
1147123,TRUE
661089,TRUE
29344,TRUE
300419,TRUE
204,TRUE
1852309,TRUE
1424653,TRUE
53366,TRUE
75658,TRUE
1408360,TRUE
2699427,TRUE
744873,TRUE
303118,TRUE
870242,TRUE
1871330,TRUE
194702,TRUE
311234,TRUE
76517,TRUE
129052,TRUE
32024,TRUE
116090,TRUE
32019,TRUE
1449341,TRUE
166485,TRUE
889247,TRUE
1711,TRUE
199,TRUE
266748,TRUE
219707,TRUE
363953,TRUE
480224,TRUE
2741498,TRUE
1108,TRUE
380174,TRUE
29343,TRUE
66219,TRUE
1304281,TRUE
104663,TRUE
1121274,TRUE
2486008,TRUE
1423770,TRUE
1506,TRUE
1097,TRUE
2769420,TRUE
29529,TRUE
454171,TRUE
295069,TRUE
2801451,TRUE
76594,TRUE
59600,TRUE
1004,TRUE
1710,TRUE
1121338,TRUE
84033,TRUE
2486005,TRUE
227865,TRUE
2486007,TRUE
1121281,TRUE
1602,TRUE
1813611,TRUE
768533,TRUE
28258,TRUE
141389,TRUE
152260,TRUE
266749,TRUE
1590652,TRUE
29346,TRUE
1335309,TRUE
1639133,TRUE
160396,TRUE
1881060,TRUE
1707952,TRUE
83526,TRUE
84032,TRUE
1423720,TRUE
444444,TRUE
76595,TRUE
253,TRUE
326427,TRUE
141390,TRUE
1683161,TRUE
112234,TRUE
1909267,TRUE
29349,TRUE
630405,TRUE
2801452,TRUE
1612,TRUE
1914243,TRUE
1121340,TRUE
458033,TRUE
1962263,TRUE
305793,TRUE
178337,TRUE
29372,TRUE
324602,TRUE
246603,TRUE
236814,TRUE
169134,TRUE
245294,TRUE
2486004,TRUE
460870,TRUE
204089,TRUE
2163172,TRUE
78329,TRUE
411316,TRUE
411317,TRUE
1716543,TRUE
485918,TRUE
1262449,TRUE
1874277,TRUE
469383,TRUE
238012,TRUE
43765,TRUE
309798,TRUE
194326,TRUE
169292,TRUE
53374,TRUE
1717,TRUE
71254,TRUE
649754,TRUE
1259795,TRUE
191610,TRUE
2486009,TRUE
1348662,TRUE
548476,TRUE
99807,TRUE
38284,TRUE
1121356,TRUE
44750,TRUE
161896,TRUE
35786,TRUE
1121354,TRUE
1697,TRUE
1121355,TRUE
1862358,TRUE
1285583,TRUE
1121357,TRUE
36808,TRUE
38289,TRUE
38290,TRUE
39791,TRUE
525263,TRUE
134034,TRUE
38288,TRUE
156976,TRUE
2079234,TRUE
61592,TRUE
38301,TRUE
43767,TRUE
57171,TRUE
37637,TRUE
525262,TRUE
1719,TRUE
29321,TRUE
1161097,TRUE
553207,TRUE
152794,TRUE
2080757,TRUE
131318,TRUE
108486,TRUE
187491,TRUE
1724,TRUE
161879,TRUE
35755,TRUE
1223512,TRUE
1718,TRUE
33010,TRUE
43770,TRUE
82633,TRUE
1485588,TRUE
89154,TRUE
38304,TRUE
43771,TRUE
1573172,TRUE
213806,TRUE
1437874,TRUE
146827,TRUE
62629,TRUE
1705,TRUE
119219,TRUE
130796,TRUE
319795,TRUE
1314753,TRUE
1035120,TRUE
159612,TRUE
65058,TRUE
43990,TRUE
2035,TRUE
150122,TRUE
136857,TRUE
43355,TRUE
500465,TRUE
161902,TRUE
313588,TRUE
1006576,TRUE
203264,TRUE
77585,TRUE
858619,TRUE
161899,TRUE
248026,TRUE
197162,TRUE
1408433,TRUE
1717726,TRUE
33011,TRUE
2782161,TRUE
1747,TRUE
53573,TRUE
2855394,TRUE
1450156,TRUE
439612,TRUE
68909,TRUE
151654,TRUE
1473580,TRUE
82541,TRUE
879970,TRUE
942865,TRUE
1725,TRUE
151783,TRUE
320787,TRUE
525268,TRUE
1765746,TRUE
1727,TRUE
68910,TRUE
1121391,TRUE
1914305,TRUE
2419843,TRUE
1915059,TRUE
240169,TRUE
41211,TRUE
36740,TRUE
80866,TRUE
206665,TRUE
449308,TRUE
58136,TRUE
1423719,TRUE
136399,TRUE
223556,TRUE
1565,TRUE
1121470,TRUE
675631,TRUE
182984,TRUE
1121385,TRUE
74701,TRUE
1849022,TRUE
1962857,TRUE
1216062,TRUE
79270,TRUE
37915,TRUE
58135,TRUE
1592317,TRUE
449311,TRUE
