tax_id,psychrophilic
2801451,TRUE
649754,TRUE
36808,TRUE
1717,TRUE
152794,TRUE
1121357,TRUE
61592,TRUE
108486,TRUE
38289,TRUE
525262,TRUE
38301,TRUE
161902,TRUE
134034,TRUE
146827,TRUE
38304,TRUE
39791,TRUE
43770,TRUE
38288,TRUE
43771,TRUE
1724,TRUE
29321,TRUE
161879,TRUE
89154,TRUE
553207,TRUE
156976,TRUE
156978,TRUE
65058,TRUE
525263,TRUE
1451189,TRUE
57171,TRUE
38290,TRUE
131318,TRUE
1223512,TRUE
187491,TRUE
1719,TRUE
1161097,TRUE
161895,TRUE
161899,TRUE
1437874,TRUE
62629,TRUE
1121365,TRUE
394964,TRUE
548478,TRUE
43990,TRUE
43769,TRUE
35755,TRUE
525268,TRUE
1718,TRUE
28141,TRUE
249406,TRUE
995037,TRUE
330642,TRUE
995038,TRUE
43355,TRUE
82633,TRUE
151783,TRUE
82541,TRUE
41988,TRUE
1001240,TRUE
1765746,TRUE
2592048,TRUE
223556,TRUE
164546,TRUE
2220095,TRUE
313588,TRUE
119219,TRUE
468916,TRUE
80866,TRUE
2294,TRUE
1725,TRUE
33010,TRUE
1349762,TRUE
249403,TRUE
468915,TRUE
86182,TRUE
77585,TRUE
439612,TRUE
101383,TRUE
248026,TRUE
130796,TRUE
68910,TRUE
1424661,TRUE
1849022,TRUE
36740,TRUE
2067988,TRUE
1336244,TRUE
2099376,TRUE
84982,TRUE
995039,TRUE
990371,TRUE
195930,TRUE
80879,TRUE
895,TRUE
2217664,TRUE
320787,TRUE
84983,TRUE
413497,TRUE
1926290,TRUE
1349750,TRUE
468914,TRUE
151654,TRUE
1121381,TRUE
1511599,TRUE
249408,TRUE
942865,TRUE
1424659,TRUE
468913,TRUE
453224,TRUE
111831,TRUE
47478,TRUE
84981,TRUE
2035,TRUE
1121385,TRUE
1727,TRUE
33011,TRUE
985,TRUE
319795,TRUE
249189,TRUE
1158603,TRUE
388466,TRUE
44008,TRUE
238,TRUE
304417,TRUE
1352,TRUE
84521,TRUE
84974,TRUE
2047966,TRUE
