ID,designation_header,strain_number_header,is_type_strain_header,species,pH
528,,"DSM 15513, ATCC BAA-666, KCTC 12091, CCUG 52903, CIP 108376, HTCC 2506",1,"Fulvimarina pelagi",10.0
134308,,"KCCM 42380, NBRC 102040, IMCC 1914",1,"Gaetbulibacter marinus",9
17872,D2-3,"DSM 18922, ATCC BAA-1445, UCCCB102",1,"Geminicoccus roseus",11.0
164373,YJ-T1-11,"JCM 32828, KCTC 62715",1,"Gemmobacter lutimaris",9.0-12.0
1419,"R-35646, 26","DSM 22, ATCC 12980, CCM 2062, CCUG 26241, IAM 11062, LMG 6939, NBRC 12550, NCIMB 8923, NCTC 10339, VKM B-2231, IFO 12550, NCA 26, JCM 2501, BCRC 11092, CIP 66.23, KCTC 1665, KCTC 1752, NCFB 1768, NRRL B-1172, VKM B-510, VTT E-81128, UCCCB118, NCDO 1768",1,"Geobacillus stearothermophilus",9
,,,,,9.0
1422,"R-35648, 178","DSM 730, BGSC 93, IFO 15316, LMG 19007, NBRC 15316, VKM B-1259",1,"Geobacillus thermocatenulatus",9.0
1433,"LEH-1, R-35636","DSM 5366, ATCC 43513, VKM B-2230",1,"Geobacillus thermoleovorans",9.0
159838,AYN2,"MTCC 12749, KCTC 33950, JCM 32596, MTCC 12769",1,"Parageobacillus yumthangensis",10-12
1773,,"DSM 17458, CCTCC AB 204065, KCTC 19029, NBRC 103883, YIM 004, JCM 15130",1,"Georgenia ruanii",10.0
133296,12-2,"DSM 102813, KCTC 52141, NBRC 111987",1,"Gilvimarinus japonicus",10
133818,CJ10,"KACC 16561, JCM 18077, DSM 46693, NBRC 109776",1,"Gordonia alkaliphila",9
140661,YC6258,"NBRC 109345, KCCM 43015",1,"Gynuella sunshinyii",10
1261,1139,"DSM 21942, ATCC 43226, CIP 109018, JCM 9157",1,"Halalkalibacter akibai",9.5
1241,C-11,"DSM 16731, JCM 9152, CIP 109021, FERM 3071",1,"Alkalihalobacillus hemicellulosilyticus",10
140404,B16-24,"DSM 29791, NCAIM B.02610",1,"Halalkalibacter kiskunsagensis",9.0-10.0
23707,NH3,"DSM 27953, CGMCC 1.10116, JCM 16507",1,"Halalkalibacter nanhaiisediminis",9
1262,Kh10-101,"DSM 23308, CIP 109247, JCM 13040, ATCC BAA-1137",1,"Halalkalibacter okhensis",9
158505,FJAT-45385,"DSM 104651, CCTCC AB 2016263",1,"Halalkalibacter urbisdiaboli",9
1240,N-1,"DSM 2521, ATCC 21832, FERM P-1138, JCM 9140, CIP 109022, FERM 1138",1,"Halalkalibacter wakoensis",9.5
1355,FP5,"DSM 18525, ATCC BAA-1361",1,"Halobacillus alkaliphilus",9.0
164426,BL9,"JCM 32962, MCCC 1K03527",1,"Halobacteriovorax vibrionivorans",9
134325,H-5,"CGMCC AS1.6843, NBRC 103919",1,"Halolactibacillus alkaliphilus",12
1358,M23-1,"DSM 17074, IAM 15247, NBRC 100873, NRIC 0633",1,"Halolactibacillus miurensis",9.5
140276,56-L4-10aEn,"DSM 103354, CICC 11012s",1,"Halomonas alkalicola",9-10
134359,DQD2-30,"CGMCC 1.6443, LMG 23896",1,"Halomonas desiderata",9
5958,CGSA15,"DSM 23812, CECT 7303, CGMCC 1.6783, JCM 18237",1,"Halorubrum luteum",9.75
133550,JX313,"CGMCC 1.8909, NBRC 105739, JCM 18238",1,"Natronorubrum daqingense",10
133120,16F3P,"KCTC 52194, JCM 31653",1,"Hymenobacter aquaticus",10
166087,WPCB131,"UCCCB13, IMSNU 14116, KCTC 12533, NBRC 101118",1,"Hymenobacter rigui",11.0
133364,16F7G,"KCTC 52197, JCM 31655",1,"Hymenobacter seoulensis",10
,,,,,9
133277,C-3,"JCM 17843, LMG 28660",1,"Iodidimonas muriae",9
132145,E1,"DSM 103822, CCTCC AB 2010224, NRRL B-59456",1,"Iodobacter limnosediminis",9.5
133266,JC303,"KCTC 33662, LMG 28756",1,"Jeotgalibacillus alkaliphilus",10.0-11.0
,,,,,9.0-12.0
17822,D8-87,"DSM 45079, JBRI 2008, KCTC 19222, JCM 15620",1,"Jiangella alkaliphila",9.1
7660,,"CCUG 55750, CCM 7384, DSM 17006, CCTCC AA 203006, CIP 107966, KCTC 19010, YIM 70003, JCM 14735, NCIMB 14352",1,"Kocuria aegyptia",10-10.5
166234,54-5,"NCIMB 15151, CCM 8894",1,"Lapidilactobacillus bayanensis",11
166202,395-6.2,"CCM 8927, NCIMB 15188, LMG 31179",1,"Companilactobacillus huachuanensis",11
