ID,designation_header,strain_number_header,is_type_strain_header,species,Temperature
135455,,"CIP 53.79",0,"Acinetobacter baumannii",10
135467,,"CIP 103572, ATCC 49139",0,"Acinetobacter baumannii",10
135661,,"CIP 70.10, ATCC 15151",0,"Acinetobacter baumannii",10
135667,D5/62,"CIP 70.21, ATCC 17957",0,"Acinetobacter baumannii",10
135771,,"CIP 64.1, ATCC 17904, NCTC 10303, CCUG 890",0,"Acinetobacter baumannii",10
136376,7827,"CIP 70.33, ATCC 17959",0,"Acinetobacter baumannii",10
136439,Ab41,"CIP 105742",0,"Acinetobacter baumannii",10
136642,"RYC 52763/97","CIP 107292",0,"Acinetobacter baumannii",10
136768,,"CIP 54.97",0,"Acinetobacter baumannii",10
137521,,"CIP 70.28, ATCC 19003",0,"Acinetobacter baumannii",10
138367,Valentin,"CIP 54.147",0,"Acinetobacter baumannii",10
138370,AMA-1,"CIP 106882",0,"Acinetobacter baumannii",10
138562,7788,"CIP 70.32, ATCC 17961",0,"Acinetobacter baumannii",10
138938,,"CIP 70.8, ATCC 15149",0,"Acinetobacter baumannii",10
139048,,"CIP 70.22, ATCC 17945",0,"Acinetobacter baumannii",10
8125,A7,"DSM 14959, CIP 107476",0,"Acinetobacter baylyi",10
172848,,"CIP A162, ATCC 17968",0,"Acinetobacter genomospecies",10
172849,,"CIP 70.19, ATCC 17984",0,"Acinetobacter genomospecies",10
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,"Acinetobacter guillouiae",10
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,"Acinetobacter haemolyticus",10
134819,,"CIP 70.13, ATCC 17912, NCTC 8698, NCIMB 9115",0,"Acinetobacter haemolyticus",10
137423,,"CIP 53.112",0,"Acinetobacter haemolyticus",10
137522,,"CIP 70.27, ATCC 19194",0,"Acinetobacter haemolyticus",10
138101,,"CIP 53.143",0,"Acinetobacter haemolyticus",10
138823,,"CIP 55.105",0,"Acinetobacter haemolyticus",10
139050,,"CIP 70.26, ATCC 19002",0,"Acinetobacter haemolyticus",10
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,"Acinetobacter johnsonii",10
134821,A3,"CIP 70.23, ATCC 17946",0,"Acinetobacter johnsonii",10
135772,,"CIP A171",0,"Acinetobacter johnsonii",10
137449,,"CIP 77.14",0,"Acinetobacter johnsonii",10
138558,,"CIP 70.16, ATCC 17923, LMG 1002, NCIMB 9018",0,"Acinetobacter johnsonii",10
138934,,"CIP 68.41, ATCC 9036, IAM 1517, LMG 983, NCDO 715, NCIMB 8154, JCM 20194, NBRC 102197",0,"Acinetobacter johnsonii",10
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,"Acinetobacter junii",10
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470, CCM 7198",0,"Acinetobacter junii",10
135965,,"CIP 51.35",0,"Acinetobacter junii",10
137127,,"CIP 70.25, ATCC 19001",0,"Acinetobacter junii",10
137401,,"CIP 55.115",0,"Acinetobacter junii",10
139457,,"CIP 51.14",0,"Acinetobacter junii",10
137771,,"CIP 101718",0,"Acinetobacter lwoffii",10
139605,,"CIP 64.7, ATCC 17910, NCTC 10309",0,"Acinetobacter lwoffii",10
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,"Acinetobacter lwoffii",10
173156,,"CIP 70.17, ATCC 17925, LMG 1004, NCIMB 9020",0,"Acinetobacter lwoffii",10
134448,2288,"CIP 102129",0,"Acinetobacter parvus",10
173376,,"CIP 102159",0,"Acinetobacter parvus",10
173377,,"CIP 102637",0,"Acinetobacter parvus",10
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,"Acinetobacter pittii",10
141511,,"CCUG 2490, CIP 70.15, ATCC 17922, NCIMB 9017",0,"Acinetobacter pittii",10
173486,,"CIP 52.90",0,"Acinetobacter pittii",10
144769,,"CCUG 26492, ATCC 13704, ATCC 17979, CIP A165",0,"Acinetobacter sp.",10
8129,"7BO2, 7B02","DSM 14966, CIP 107466",0,"Acinetobacter tjernbergiae",10
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,"Acinetobacter towneri",10
8124,"2NO1, 2N01","DSM 14969, CIP 107471",0,"Acinetobacter towneri",10
161857,,"JCM 16673, KCTC 23040",1,"Actimicrobium antarcticum",15
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,"Actinoallomurus spadix",5
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,"Actinoalloteichus caeruleus",10
11688,"P. 907","DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,"Actinobacillus arthritidis",15
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,"Actinobacillus capsulatus",15
135117,"CNPA52, P244","CIP 104135",0,"Actinobacillus capsulatus",15
135427,"CNPA53, P564","CIP 104136",0,"Actinobacillus capsulatus",10
139011,"P572, CNPA54","CIP 104137",0,"Actinobacillus capsulatus",10
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,"Actinobacillus delphinicola",15
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,"Actinobacillus equuli subsp. haemolyticus",15
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,"Actinobacillus hominis",15
135429,"P581, 15, CNPA69","CIP 104138",0,"Actinobacillus hominis",15
11685,46KC2,"DSM 22264, CCUG 39029, CIP 105316",1,"Actinobacillus indolicus",15
137916,"120-86, 0897 POU","CIP 102180",0,"Actinobacillus lignieresii",15
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,"Actinobacillus minor",15
136802,"HK 407","CIP 107724, ATCC 27090, CCM 5871",0,"Haemophilus pleuropneumoniae",15
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,"Actinobacillus porcinus",15
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,"Actinobacillus rossii",15
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,"Actinobacillus seminis",15
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,"Actinobacillus succinogenes",15
139346,"PG97-2(2), 9642367","CIP 105099",0,"Actinobacillus suis",15
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,"Actinobacillus ureae",15
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",10
135256,101342,"CIP 107936",1,"Actinobaculum timonae",10
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,"Actinocorallia longicatena",15
,,,,,5
132014,OB1,"DSM 45618, ATCC BAA-2771",1,"Actinocrinis puniceicyclus",10
13205,"YU 924-101","DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,"Actinokineospora enzanensis",10
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,"Actinomadura atramentaria",15
,,,,,5
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,"Actinomadura livida",15
,,,,,5
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,"Actinomadura formosensis",15
,,,,,5
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,"Actinomadura luteofluorescens",15
,,,,,5
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,"Actinomadura luteofluorescens",15
,,,,,5
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,"Actinomadura macra",15
,,,,,5
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,"Actinomadura madurae",15
,,,,,5
16985,A290,"DSM 44485, NRRL B-24203, JCM 13236, CIP 108420",1,"Actinomadura mexicana",15
,,,,,5
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,"Actinomadura namibiensis",15
,,,,,5
16950,A19,"DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997",1,"Actinomadura pelletieri",15
,,,,,5
16975,,"DSM 44130, IFO 14382, JCM 3366, NBRC 14382, NRRL B-16566, ATCC 51643, BCRC 13608, CIP 105482, IMSNU 22195, KCTC 9494, MTCC 1140, NCIMB 14345, CCRC 13608",1,"Actinomadura rugatobispora",15
,,,,,5
16963,"A-184, A4, A-0147","DSM 43358, ATCC 27299, DSM 43550, KCC A-0147, JCM 3147, BCRC 13408, CBS 258.72, CCM 3492, CGMCC 4.1512, CGMCC 4.2116, CIP 105480, IFO 14100, IMET 9588, IMSNU 20017, MTCC 1397, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668, CCRC 13408",1,"Actinomadura verrucosospora",5
16967,A-0325,"DSM 43765, ATCC 33581, IFO 14688, IMET 9574, IMET 9673, INA 1682, JCM 3325, KCC A-0325, NBRC 14688, CIP 105481, IMSNU 20018, KCTC 9344",1,"Actinomadura vinacea",15
,,,,,5
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,"Actinomadura viridilutea",15
,,,,,5
134407,"LL-C23024, LL-C23024.","CIP 105436, ATCC 43060, IFO 14689, JCM 3369, NRRL 12515, DSM 108649, KCTC 9495, NBRC 14689, DSM 43931, IMSNU 22167, NBIMCC 1535",1,"Actinomadura yumaensis",10
148,"P2S, PS1","DSM 43014, ATCC 13683, CIP 103258, CCUG 18308, NCTC 11535",1,"Actinomyces bovis",10
137061,,"CIP 104873, NCTC 9429, CCUG 34492",0,"Actinomyces bovis",10
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,"Actinomyces bowdenii",10
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,"Actinomyces catuli",10
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,"Actinomyces dentalis",10
,,,,,5
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,"Actinomyces denticolens",10
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,"Actinomyces gerencseriae",10
164,8/46-47,"DSM 43322, ATCC 29322, CCUG 32939, WVU 307, CIP 103260",0,"Actinomyces gerencseriae",10
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,"Actinomyces graevenitzii",10
138236,,"CIP 105738, CCUG 29516",0,"Actinomyces graevenitzii",10
151,"Jr 277 (CDC W855)","DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,"Actinomyces israelii",10
137277,,"CIP 104876, NCTC 10236, CCUG 34502",0,"Actinomyces israelii",10
138098,,"CIP 104874, NCTC 6826, CCUG 34495",0,"Actinomyces israelii",10
138099,,"CCUG 34501, CIP 104875, NCTC 10215",0,"Actinomyces israelii",10
137721,T4G,"CIP 106461, CCUG 32865",0,"Actinomyces lingnae",10
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,"Actinomyces naeslundii",10
153,"Bowden X600S-96, CS 1752, X-600","DSM 17233, ATCC 19039, CCUG 35337, DSM 43325, WVU 447, CDC X-600, JCM 8350, CIP 104837, CIP 82.9, CIP 100654",0,"Actinomyces naeslundii",10
136024,729-85,"CIP 101863",0,"Actinomyces naeslundii",10
136035,981-85,"CIP 102031",0,"Actinomyces naeslundii",10
136096,473-86,"CIP 102471",0,"Actinomyces naeslundii",10
137742,223-83,"CIP 100149",0,"Actinomyces naeslundii",10
137754,982-83,"CIP 100594",0,"Actinomyces naeslundii",10
137852,727-85,"CIP 101864",0,"Actinomyces naeslundii",10
138018,403-82,"CIP 102481",0,"Actinomyces naeslundii",10
138635,480-85,"CIP 101693",0,"Actinomyces naeslundii",10
139080,716-84,"CIP 101115",0,"Actinomyces naeslundii",10
137235,,"CIP 103186",0,"Actinomyces odonlyticus",10
137440,,"CIP 102340",0,"Actinomyces oris",10
176,"AO 96-06841","DSM 15433, CCUG 36733, CIP 106352",1,"Actinomyces radicidentis",10
136504,99-4242,"CIP 106353, CCUG 42377",0,"Actinomyces radicidentis",10
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",10
135407,,"CIP 100478",0,"Actinomyces urogenitalis",10
137236,723-82,"CIP 103188",0,"Actinomyces urogenitalis",10
,,,,,15
137749,820.83,"CIP 100493",0,"Actinomyces urogenitalis",10
,,,,,15
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,"Actinomyces viscosus",10
136351,,"CIP 104871, ATCC 15988, NCTC 10952, CIP 104838, JCM 8351, CCUG 34489",0,"Actinomyces viscosus",10
138733,857-82,"CIP 102478",0,"Actinomyces viscosus",10
132566,MB20,"DSM 46746, CECT 8960",1,"Actinophytocola algeriensis",15
11158,"IM 7744","DSM 22024, CIP 107343, JCM 10761, KCTC 19907, NBRC 100040, NRRL B-24113, NCIMB 14324",1,"Actinopolymorpha singaporensis",15
,,,,,5
145,"B 5329","DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,"Actinotignum schaalii",10
135574,,"CIP 105736, CCUG 32296",0,"Actinotignum schaalii",10
138237,,"CIP 105735, CCUG 19698",0,"Actinotignum schaalii",10
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,"Actinotignum urinale",10
385,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1,"Advenella incenata",5
139658,,"CIP 107457, DSM 14231, LMG 21431, ACAM 640",1,"Aequorivita antarctica",5
5477,9-3,"DSM 14238, ACAM 643, CIP 107454, LMG 21432",1,"Aequorivita sublithincola",2-10
,,,,,5
139663,,"CIP 108845, KMM 3516, IFO 16718, NBRC 16718, JCM 11732",1,"Aequorivita vladivostokensis",5
226,"UW06, UW 06","DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,"Aerococcus christensenii",10
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA-465",1,"Aerococcus sanguinicola",10
