ID,designation_header,strain_number_header,is_type_strain_header,species,Temperature
17722,HS-1,"DSM 44261, ATCC 49777, CCRC 13635, IFO 15162, JCM 7550, NBRC 15162, NCIMB 13257, BCRC 13635, CGMCC 4.5630, IMSNU 22093, KCTC 9196, KCTC 9351, VKM Ac-1974",1,"Actinopolyspora mortivallis",45
145,"B 5329","DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,"Actinotignum schaalii",45
135574,,"CIP 105736, CCUG 32296",0,"Actinotignum schaalii",45
138237,,"CIP 105735, CCUG 19698",0,"Actinotignum schaalii",45
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,"Actinotignum urinale",45
385,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1,"Advenella incenata",45
139658,,"CIP 107457, DSM 14231, LMG 21431, ACAM 640",1,"Aequorivita antarctica",45
5476,Y10-2,"DSM 14236, ACAM 641, CIP 107455, LMG 21430",1,"Aequorivita lipolytica",45
5477,9-3,"DSM 14238, ACAM 643, CIP 107454, LMG 21432",1,"Aequorivita sublithincola",45
139663,,"CIP 108845, KMM 3516, IFO 16718, NBRC 16718, JCM 11732",1,"Aequorivita vladivostokensis",45
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",50-65
,,,,,55
,,,,,60
1560,H12,"DSM 3670, ATCC 51176, LMG 19006",1,"Aeribacillus pallidus",60
1561,E21,"DSM 30876",0,"Aeribacillus pallidus",55
130210,MS-X1,"DSM 28917",0,"Aeribacillus pallidus",45
139790,"Yugo, Yugo 65","DSM 15447",0,"Aeribacillus pallidus",50
131446,4009,"DSM 14423",0,"Aeribacillus sp.",60
