ID,designation_header,strain_number_header,is_type_strain_header,species,"Salt concentration"
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,"Acidovorax konjaci",10
,,,,,6
,,,,,8
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,"Acidovorax oryzae",10
,,,,,6
,,,,,8
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,"Acidovorax temperans",10
,,,,,6
,,,,,8
138352,,"CIP 106440, CCUG 10556, LMG 6437",0,"Acidovorax temperans",10
,,,,,8
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,"Acidovorax valerianellae",10
,,,,,6
,,,,,8
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551, CIP 68.38, LMG 1049, NCDO 709",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
132687,"Piéchaud 5377, Piéchaud strain Rochefort","DSM 105126, ATCC 17978, CIP 53.77, LMG 1025, NCDC KC755, Bouvet and Grimont 8",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
134623,,"CIP 70.9, ATCC 15150",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
134820,,"CIP 70.24, ATCC 9955",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
135455,,"CIP 53.79",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
135467,,"CIP 103572, ATCC 49139",0,"Acinetobacter baumannii",6
,,,,,8
135661,,"CIP 70.10, ATCC 15151",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
135667,D5/62,"CIP 70.21, ATCC 17957",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
135771,,"CIP 64.1, ATCC 17904, NCTC 10303, CCUG 890",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
136376,7827,"CIP 70.33, ATCC 17959",0,"Acinetobacter baumannii",10
,,,,,8
136439,Ab41,"CIP 105742",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
136642,"RYC 52763/97","CIP 107292",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
136768,,"CIP 54.97",0,"Acinetobacter baumannii",10
,,,,,8
137126,"D 409, 2315","CIP 70.35, ATCC 19568, NCIMB 9214",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
137521,,"CIP 70.28, ATCC 19003",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
137643,,"CIP 103655, ATCC 49467",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
138367,Valentin,"CIP 54.147",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
138370,AMA-1,"CIP 106882",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
138562,7788,"CIP 70.32, ATCC 17961",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
139048,,"CIP 70.22, ATCC 17945",0,"Acinetobacter baumannii",10
,,,,,6
,,,,,8
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,"Acinetobacter baylyi",10
,,,,,6
,,,,,8
8125,A7,"DSM 14959, CIP 107476",0,"Acinetobacter baylyi",10
,,,,,6
,,,,,8
8127,C5,"DSM 14963, CIP 107473",0,"Acinetobacter baylyi",10
,,,,,6
,,,,,8
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,"Acinetobacter bereziniae",10
,,,,,6
,,,,,8
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,"Acinetobacter bouvetii",10
,,,,,6
,,,,,8
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,"Acinetobacter calcoaceticus",10
,,,,,6
,,,,,8
8054,HO1-N,"DSM 1139, NCIB 9205, CCUG 3352, ATCC 14987, LMG 1056, CIP 66.33, NCIMB 9205",0,"Acinetobacter calcoaceticus",10
,,,,,6
,,,,,8
135231,,"CIP 103625, ATCC 49137",0,"Acinetobacter calcoaceticus",10
,,,,,8
135648,,"CIP 66.32, ATCC 17902",0,"Acinetobacter calcoaceticus",10
,,,,,6
,,,,,8
141331,,"CCUG 887, ATCC 17905, NCTC 10304, CIP 64.2, CNCTC 7582, NIPH 1860",0,"Acinetobacter colistiniresistens",10
,,,,,6
,,,,,8
172848,,"CIP A162, ATCC 17968",0,"Acinetobacter genomospecies",10
,,,,,6
,,,,,8
172849,,"CIP 70.19, ATCC 17984",0,"Acinetobacter genomospecies",10
,,,,,6
,,,,,8
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,"Acinetobacter gerneri",10
,,,,,6
,,,,,8
