reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction
Ort-RDM-1_3,EMG50750,0.322,318,207,0,8,314,4,321,3.446E-30,116,2.52,0.85685,0.4541766941547394,44.0,31.0,0.7045454545454546
Ort-RDM-1_3,CCH43855,0.306,335,225,0,9,333,5,339,1.155E-29,114,2.57,0.83163,0.48004454374313354,46.0,32.0,0.6956521739130435
Ort-RDM-1_3,EER34926,0.314,335,224,0,6,333,6,340,1.562E-29,114,2.54,0.85022,0.4371258318424225,47.0,29.0,0.6170212765957447
Ort-RDM-1_3,EGW30505,0.342,312,201,0,8,314,3,314,5.224E-29,112,2.29,0.86075,0.41983291506767273,46.0,31.0,0.6739130434782609
Ort-RDM-1_3,ORY92490,0.312,328,219,0,10,329,9,336,5.224E-29,112,2.83,0.80635,0.5450878143310547,51.0,37.0,0.7254901960784313
Ort-RDM-1_3,EXU95441,0.326,281,188,0,6,286,4,283,7.064E-29,112,2.48,0.84378,0.5330528616905212,47.0,28.0,0.5957446808510638
Ort-RDM-1_3,EGW32862,0.317,310,209,0,8,314,4,313,9.550E-29,111,2.65,0.85449,0.3980471193790436,45.0,29.0,0.6444444444444445
Ort-RDM-1_3,ABN65471,0.328,325,216,0,9,333,4,326,9.550E-29,111,2.63,0.85295,0.4719260036945343,45.0,33.0,0.7333333333333333
Ort-RDM-1_3,ABN66052,0.337,324,213,0,8,329,2,325,9.550E-29,111,2.23,0.85771,0.4515641927719116,45.0,31.0,0.6888888888888889
Ort-RDM-1_3,ABN68180,0.332,279,185,0,8,286,2,279,3.188E-28,110,2.24,0.85831,0.40368688106536865,46.0,31.0,0.6739130434782609
Ort-RDM-1_3,ABN64930,0.309,310,211,0,8,314,4,313,5.821E-28,109,2.6,0.84705,0.736643373966217,47.0,21.0,0.44680851063829785
Ort-RDM-1_3,CCE78191,0.301,311,214,0,8,314,2,312,5.821E-28,109,2.38,0.85208,0.4974396228790283,44.0,31.0,0.7045454545454546
Ort-RDM-1_3,EDK43723,0.313,331,223,0,8,333,3,333,1.063E-27,108,2.08,0.86802,0.41782742738723755,46.0,28.0,0.6086956521739131
Ort-RDM-1_3,EGW34746,0.315,327,223,0,8,334,4,329,1.435E-27,108,2.65,0.8533,0.37336626648902893,45.0,32.0,0.7111111111111111
Ort-RDM-1_3,EDK41061,0.326,324,216,0,8,329,3,326,1.435E-27,108,2.44,0.85267,0.5050570964813232,46.0,33.0,0.717391304347826
Ort-RDM-1_3,CAX43883,0.301,339,226,0,6,329,2,340,1.435E-27,108,2.84,0.83009,0.5561849474906921,45.0,36.0,0.8
Ort-RDM-1_3,ODV81507,0.335,325,213,0,9,329,4,328,1.939E-27,108,2.69,0.83842,0.4638857841491699,50.0,31.0,0.62
Ort-RDM-1_3,ODV76726,0.296,316,215,0,8,314,2,317,1.939E-27,108,2.51,0.8408,0.4172917902469635,48.0,29.0,0.6041666666666666
Ort-RDM-1_3,EGW35463,0.313,322,220,0,8,329,4,324,3.536E-27,107,2.64,0.84923,0.30126556754112244,45.0,29.0,0.6444444444444445
Ort-RDM-1_3,KGT70854,0.312,336,222,0,6,329,2,337,3.536E-27,107,2.73,0.83431,0.3831452429294586,47.0,30.0,0.6382978723404256
Ort-RDM-1_3,EGW35479,0.301,312,215,0,7,314,3,314,4.775E-27,106,2.55,0.85584,0.5638328790664673,48.0,35.0,0.7291666666666666
