reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score
Ssal-KRED,EMG50243,0.287,324,224,0,14,337,5,319,1.584E-30,117,2.36,0.8761
Ssal-KRED,CCH43855,0.295,334,228,0,14,337,6,339,2.142E-30,117,2.72,0.83005
Ssal-KRED,KIW91465,0.307,326,221,0,14,339,3,322,2.898E-30,116,2.29,0.87578
Ssal-KRED,ODV81308,0.294,333,229,0,12,337,2,334,5.300E-30,115,2.73,0.82874
Ssal-KRED,ABN65471,0.300,324,225,0,14,337,5,326,1.310E-29,114,2.57,0.85273
Ssal-KRED,CCA40817,0.279,345,235,0,11,337,3,347,1.310E-29,114,2.64,0.81502
Ssal-KRED,CCE39733,0.289,310,216,0,14,318,5,314,2.395E-29,113,2.66,0.83875
Ssal-KRED,EGW31012,0.265,327,237,0,14,337,6,332,3.237E-29,113,2.91,0.85856
Ssal-KRED,EGW35479,0.292,330,230,0,11,336,3,332,4.375E-29,113,2.77,0.85412
Ssal-KRED,EGW32253,0.294,308,215,0,14,318,6,313,5.913E-29,112,2.81,0.85085
Ssal-KRED,ODV77212,0.300,333,228,0,12,337,2,334,5.913E-29,112,2.82,0.82796
Ssal-KRED,EER35024,0.298,298,204,0,14,304,7,304,5.913E-29,112,2.96,0.83287
Ssal-KRED,EGW33854,0.282,335,240,0,3,337,2,336,7.990E-29,112,2.73,0.84935
Ssal-KRED,EMG50559,0.277,330,236,0,14,340,5,334,1.080E-28,111,2.69,0.84541
Ssal-KRED,EDK43723,0.303,329,225,0,14,337,5,333,1.080E-28,111,2.65,0.86036
Ssal-KRED,EDK46659,0.274,334,237,0,14,340,5,338,1.459E-28,111,2.72,0.83491
Ssal-KRED,EER34926,0.300,316,213,0,14,318,10,325,1.459E-28,111,2.83,0.84801
Ssal-KRED,ABN68180,0.300,324,226,0,14,337,4,327,1.971E-28,111,2.73,0.85074
Ssal-KRED,EIW07406,0.292,328,227,0,14,335,3,330,2.662E-28,110,2.71,0.83054
Ssal-KRED,ANZ74293,0.305,295,194,0,12,291,3,297,2.662E-28,110,2.59,0.81665
Ssal-KRED,EGW32584,0.274,324,234,0,14,337,6,328,8.856E-28,109,2.69,0.85891
Ssal-KRED,CCE41438,0.294,310,217,0,12,321,5,312,8.856E-28,109,2.74,0.85125
Ssal-KRED,KOH48093,0.289,328,228,0,14,335,3,330,8.856E-28,109,2.72,0.8309
Ssal-KRED,KGT70854,0.267,339,239,0,11,337,3,341,8.856E-28,109,2.95,0.83589
Ssal-KRED,EGW35463,0.277,324,233,0,14,337,6,328,1.196E-27,108,2.68,0.85596
Ssal-KRED,CCH57958,0.289,330,230,0,14,337,3,332,1.196E-27,108,2.86,0.82052
Ssal-KRED,CCH60145,0.319,285,189,0,14,292,3,287,2.179E-27,108,2.99,0.81709
Ssal-KRED,ODV67907,0.294,324,227,0,14,337,7,329,7.232E-27,106,2.74,0.85157
Ssal-KRED,CAX43883,0.256,346,243,0,11,337,3,348,2.396E-26,104,2.87,0.82423
Ssal-KRED,CCG22285,0.263,330,238,0,14,337,3,332,4.358E-26,104,2.83,0.84618
Ssal-KRED,EGW33294,0.297,329,224,0,12,340,4,323,7.923E-26,103,2.72,0.85791
Ssal-KRED,EER35026,0.270,334,239,0,14,341,6,339,1.068E-25,102,2.77,0.84422
Ssal-KRED,EGW32291,0.288,324,229,0,14,337,7,329,2.616E-25,101,2.7,0.85523
Ssal-KRED,KGT65805,0.277,328,234,0,14,337,7,334,3.526E-25,101,2.68,0.83993
Ssal-KRED,OPB45484,0.279,330,236,0,11,338,3,332,6.401E-25,100,2.72,0.83413
Ssal-KRED,EJS41804,0.282,328,230,0,14,335,3,330,1.162E-24,99,2.77,0.82929
Ssal-KRED,EDO15092,0.260,329,238,0,14,335,3,331,2.107E-24,98,2.8,0.82227
Ssal-KRED,CAX41255,0.266,328,237,0,14,337,7,334,3.821E-24,98,2.73,0.84181
Ssal-KRED,EER30950,0.286,282,198,0,14,292,4,285,6.924E-24,97,2.53,0.85454
Ssal-KRED,EGW35041,0.300,296,205,0,14,309,6,299,9.320E-24,96,3.08,0.796
Ssal-KRED,ODV81507,0.272,326,234,0,16,337,7,332,9.320E-24,96,2.87,0.83452
Ssal-KRED,KGT65116,0.278,324,232,0,14,337,5,327,1.254E-23,96,2.86,0.81696
Ssal-KRED,CCE40009,0.265,310,226,0,12,321,5,312,4.110E-23,94,2.48,0.86258
Ssal-KRED,CCG22283,0.325,197,130,0,14,210,3,195,5.528E-23,94,2.7,0.84195
Ssal-KRED,EDK47269,0.282,324,232,0,14,337,8,331,9.997E-23,93,3.14,0.84577
Ssal-KRED,EER31342,0.255,324,239,0,14,337,3,324,1.429E-21,90,2.84,0.81716
Ssal-KRED,CCG25156,0.219,323,251,0,14,336,10,332,1.288E-13,65,2.85,0.8353
Ssal-KRED,CCE41045,0.245,281,209,0,14,291,16,296,2.283E-13,64,3.22,0.82738
n.d.,ODN80031,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.93,0.79697
n.d.,KIJ46908,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.48,0.84588
n.d.,KFA63262,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.12,0.79722
n.d.,ODV69400,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.64,0.84767
n.d.,ODV65262,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.97,0.82067
n.d.,KIY00742,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.88,0.76325
n.d.,CCE40418,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.81,0.8463
